"block_id","basin_id","basin_label","center_lon","center_lat","domain_count","grid_cell_count","coastal_cell_span_km","inner_refinement_area_km2","outer_adcirc_area_km2","inner_along_half_km","inner_cross_half_km","outer_along_half_km","outer_cross_half_km","shelf_width_km","outer_buffer_km","shelf_add_area_km2","shelf_add_cell_count","shelf_add_component_count","bay_add_area_km2","bay_add_cell_count","bay_add_core_cell_count","bay_add_component_count","auto_alongshore_radius_deg","auto_offshore_deg","auto_inner_radius_deg","open_ocean_area_risk","outer_geojson","inner_geojson","outer_ring_csv","inner_ring_csv"
"ADC_AUSSP_01","BASIN_AUSSP","Australia and South Pacific","114.667196214637","-23.0448522853867","2","90","820.732732639102","222904.114270924","2970014.95092228","459.74099516807","224.943286931298","1227.46375350505","916.688516116367","250","430","0","0","0","0","0","0","0","11.0264440667001","7","4.12990473560969","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_AUSSP_01_outer_ring.csv","block_boundaries/ADC_AUSSP_01_inner_ring.csv"
"ADC_AUSSP_02","BASIN_AUSSP","Australia and South Pacific","123.889074271228","-17.2993782919843","4","172","1403.32419150319","399881.249096254","3300422.64160654","745.656918788641","243.650336047289","1449.99546950467","1028.42289159193","250","430","0","0","0","504979.318001545","521","521","2","12","7","6.69831942857206","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_AUSSP_02_outer_ring.csv","block_boundaries/ADC_AUSSP_02_inner_ring.csv"
"ADC_AUSSP_03","BASIN_AUSSP","Australia and South Pacific","134.46503308812","-13.3071167847109","3","186","953.712078014124","380170.11546113","4017164.74219146","526.14327513735","334.734663036597","1308.08032347385","1388.83314236762","250","430","0","0","0","1699963.42374941","1925","1925","5","11.7506317236242","7","4.72640383702255","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_AUSSP_03_outer_ring.csv","block_boundaries/ADC_AUSSP_03_inner_ring.csv"
"ADC_AUSSP_04","BASIN_AUSSP","Australia and South Pacific","141.544231988829","-15.2025296312491","1","64","747.602325487733","168358.959707568","2554341.96511497","421.718360506118","129.677886185957","994.060787571146","881.259494937912","250","430","0","0","0","228125.988120269","283","283","1","8.92975914095532","7","3.78834315941536","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_AUSSP_04_outer_ring.csv","block_boundaries/ADC_AUSSP_04_inner_ring.csv"
"ADC_AUSSP_05","BASIN_AUSSP","Australia and South Pacific","144.226384765034","-14.4788421200995","1","52","778.959463261941","169842.350165882","3633622.12691889","439.443966350032","157.575979974105","1429.50564953872","1052.3806672565","250","430","0","0","0","958581.921979595","1237","1237","3","12","7","3.94757425754611","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_AUSSP_05_outer_ring.csv","block_boundaries/ADC_AUSSP_05_inner_ring.csv"
"ADC_NA_01","BASIN_NA","North American East and West Coasts","-110.325375781911","26.0938621791965","3","170","994.512459162728","416271.145781787","1617016.5156562","532.892839369255","276.277791359141","829.189395572734","595.32029557695","250","430","0","0","0","0","0","0","0","7.44870100227034","5.34782874215729","4.78703592678095","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_01_outer_ring.csv","block_boundaries/ADC_NA_01_inner_ring.csv"
"ADC_NA_02","BASIN_NA","North American East and West Coasts","-105.437850433458","21.8487639142664","2","49","735.182904308546","160149.052769006","1280984.99042442","417.13189692406","154.114437114301","895.119137245102","492.803677741255","250","430","0","0","0","156176.544986579","252","252","1","8.04095523935593","4.42691050791641","3.74714244452084","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_02_outer_ring.csv","block_boundaries/ADC_NA_02_inner_ring.csv"
"ADC_NA_03","BASIN_NA","North American East and West Coasts","-95.4048711613549","28.486659190908","2","139","901.750898988544","258753.888873577","2570598.3421958","500.7739627922","240.691216405466","939.065811003271","952.140886299166","250","430","0","0","0","1411226.62351415","2071","2071","3","8.43573312076241","7","4.49850846920769","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_03_outer_ring.csv","block_boundaries/ADC_NA_03_inner_ring.csv"
"ADC_NA_04","BASIN_NA","North American East and West Coasts","-97.3177855351045","16.5086309827554","2","62","1077.19866198402","219251.701002767","1807900.60462085","588.584217259966","161.113715563914","961.929568024241","614.195944847493","250","430","0","0","0","0","0","0","0","8.64112080510458","5.51739080890669","5.28731779787968","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_04_outer_ring.csv","block_boundaries/ADC_NA_04_inner_ring.csv"
"ADC_NA_05","BASIN_NA","North American East and West Coasts","-96.8315134813567","20.3877306506603","1","77","804.337616001858","202171.566642326","1397883.46345146","451.407809269361","184.543966777012","747.829914578556","669.425417809185","250","430","0","0","0","517944.420316561","580","580","2","6.71783969258494","6.01352333641022","4.0550467954488","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_05_outer_ring.csv","block_boundaries/ADC_NA_05_inner_ring.csv"
"ADC_NA_06","BASIN_NA","North American East and West Coasts","-84.1727762978848","14.0235545405689","2","103","858.911649310399","265774.837701545","2876406.67681714","478.253341470491","308.547675379491","1072.44296953056","856.658079511519","250","430","0","0","0","1862377.19567683","2155","2155","5","9.63387504069855","7","4.29620321119737","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_06_outer_ring.csv","block_boundaries/ADC_NA_06_inner_ring.csv"
"ADC_NA_07","BASIN_NA","North American East and West Coasts","-85.4588276811173","10.5352375697951","1","16","293.684840267038","67678.0046360306","740870.532998173","196.677888592442","118.051821611805","512.831478191687","472.259753764305","250","430","0","0","0","400643.243634263","395","395","2","4.60682247746755","4.24236214304981","1.76677945196229","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_07_outer_ring.csv","block_boundaries/ADC_NA_07_inner_ring.csv"
"ADC_NA_08","BASIN_NA","North American East and West Coasts","-88.9556837008837","19.5517474432393","4","174","814.65049727812","351065.630176362","3503189.12032559","445.333417918577","346.127202342998","987.128560914344","1182.91655007547","250","430","0","0","0","1821489.48417757","2436","2436","4","8.86748617422156","7","4.00047985913202","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_08_outer_ring.csv","block_boundaries/ADC_NA_08_inner_ring.csv"
"ADC_NA_09","BASIN_NA","North American East and West Coasts","-89.9400717485337","30.0877322679761","1","171","830.465902541102","285484.465574664","2715643.51405631","462.827945221543","251.027030083505","999.991013891322","926.931013133472","250","430","0","0","0","1416010.27911355","2099","2099","3","8.98303102669172","7","4.15763515290643","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_09_outer_ring.csv","block_boundaries/ADC_NA_09_inner_ring.csv"
"ADC_NA_10","BASIN_NA","North American East and West Coasts","-82.200020663436","22.3185740827959","1","88","541.301820312979","175527.698126696","2857897.4167946","318.227351995335","180.119831211316","919.087402839923","1045.14356668471","250","430","0","0","0","943368.115068075","1220","1220","3","8.25626484764573","7","2.85867186485209","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_10_outer_ring.csv","block_boundaries/ADC_NA_10_inner_ring.csv"
"ADC_NA_11","BASIN_NA","North American East and West Coasts","-77.9218455705984","22.1658407573007","3","174","979.490461065737","407448.442315623","4637482.26711467","536.641282482824","365.074733311256","1457.08363162823","1093.17543606638","250","430","0","0","0","2341987.98278304","2797","2797","6","12","7","4.82070861015831","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_11_outer_ring.csv","block_boundaries/ADC_NA_11_inner_ring.csv"
"ADC_NA_12","BASIN_NA","North American East and West Coasts","-81.0155548314955","28.6871621365304","6","244","1232.4043388736","440154.736758594","3362152.24063075","665.494841676955","352.535454663335","1328.76893469599","1015.58223427998","250","430","35537.2634117546","47","1","944359.198133306","767","767","3","11.9364798301832","7","5.97821453177287","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_12_outer_ring.csv","block_boundaries/ADC_NA_12_inner_ring.csv"
