block_id,rank_block,basin_id,basin_label,lon,lat,domain_count,grid_cell_count,lowlying_area_km2,priority_max,tc_landfall_count_max,population_sum_2020,inner_area_km2,outer_area_km2,block_span_km,inner_along_half_km,inner_cross_half_km,outer_along_half_km,outer_cross_half_km,shelf_width_km,outer_buffer_km,shelf_add_area_km2,shelf_add_cell_count,shelf_add_component_count,bay_add_area_km2,bay_add_cell_count,bay_add_core_cell_count,bay_add_component_count,open_ocean_area_risk,auto_alongshore_radius_deg,auto_offshore_deg,auto_inland_deg,auto_bay_close_deg,auto_ellipse_ratio,auto_inner_radius,member_domains
ADC_AUSSP_01,1,BASIN_AUSSP,Australia and South Pacific,114.667196214637,-23.0448522853867,2,90,12478.2280004172,0.70642745627291,14,4890330.02542462,222904.114270924,2970014.95092228,820.732732639102,459.74099516807,224.943286931298,1227.46375350505,916.688516116367,250,430,0,0,0,0,0,0,0,0,11.0264440667001,7,1.5,3,0.746815140975643,4.12990473560969,GTC_0069;GTC_0027
ADC_AUSSP_02,2,BASIN_AUSSP,Australia and South Pacific,123.889074271228,-17.2993782919843,4,172,15467.4753761382,0.415126973420848,15,0,399881.249096254,3300422.64160654,1403.32419150319,745.656918788641,243.650336047289,1449.99546950467,1028.42289159193,250,430,0,0,0,504979.318001545,521,521,2,0,12,7,1.5,3,0.709259382681549,6.69831942857206,GTC_0016;GTC_0067;GTC_0075;GTC_0082
ADC_AUSSP_03,3,BASIN_AUSSP,Australia and South Pacific,134.46503308812,-13.3071167847109,3,186,27111.7125530326,0.327868789255286,7,0,380170.11546113,4017164.74219146,953.712078014124,526.14327513735,334.734663036597,1308.08032347385,1388.83314236762,250,430,0,0,0,1699963.42374941,1925,1925,5,0,11.7506317236242,7,1.5,3,1.06173383808673,4.72640383702255,GTC_0041;GTC_0057;GTC_0062
ADC_AUSSP_04,4,BASIN_AUSSP,Australia and South Pacific,141.544231988829,-15.2025296312491,1,64,16711.575873418,0.327571997999101,7,0,168358.959707568,2554341.96511497,747.602325487733,421.718360506118,129.677886185957,994.060787571146,881.259494937912,250,430,0,0,0,228125.988120269,283,283,1,0,8.92975914095532,7,1.5,3,0.886524753774013,3.78834315941536,GTC_0059
ADC_AUSSP_05,5,BASIN_AUSSP,Australia and South Pacific,144.226384765034,-14.4788421200995,1,52,3673.54209169609,0.28179133286924,6,0,169842.350165882,3633622.12691889,778.959463261941,439.443966350032,157.575979974105,1429.50564953872,1052.3806672565,250,430,0,0,0,958581.921979595,1237,1237,3,0,12,7,1.5,3,0.736185035432416,3.94757425754611,GTC_0053
ADC_NA_01,6,BASIN_NA,North American East and West Coasts,-110.325375781911,26.0938621791965,3,170,15378.1693880123,0.402226127140482,15,0,416271.145781787,1617016.5156562,994.512459162728,532.892839369255,276.277791359141,829.189395572734,595.32029557695,250,430,0,0,0,0,0,0,0,0,7.44870100227034,5.34782874215729,1.5,3,0.7179545454338,4.78703592678095,GTC_0064;GTC_0092;GTC_0034
ADC_NA_02,7,BASIN_NA,North American East and West Coasts,-105.437850433458,21.8487639142664,2,49,5295.76108180113,0.496845538371804,11,2069.64581033273,160149.052769006,1280984.99042442,735.182904308546,417.13189692406,154.114437114301,895.119137245102,492.803677741255,250,430,0,0,0,156176.544986579,252,252,1,0,8.04095523935593,4.42691050791641,1.5,3,0.65,3.74714244452084,GTC_0038;GTC_0048
ADC_NA_03,8,BASIN_NA,North American East and West Coasts,-95.4048711613549,28.486659190908,2,139,37202.157795344,0.456680994332152,15,0,258753.888873577,2570598.3421958,901.750898988544,500.7739627922,240.691216405466,939.065811003271,952.140886299166,250,430,0,0,0,1411226.62351415,2071,2071,3,0,8.43573312076241,7,1.5,3,1.0139234919882,4.49850846920769,GTC_0033;GTC_0012
ADC_NA_04,9,BASIN_NA,North American East and West Coasts,-97.3177855351045,16.5086309827554,2,62,3548.16147976191,0.252822912162523,7,0,219251.701002767,1807900.60462085,1077.19866198402,588.584217259966,161.113715563914,961.929568024241,614.195944847493,250,430,0,0,0,0,0,0,0,0,8.64112080510458,5.51739080890669,1.5,3,0.65,5.28731779787968,GTC_0083;GTC_0085
ADC_NA_05,10,BASIN_NA,North American East and West Coasts,-96.8315134813567,20.3877306506603,1,77,10001.1232280432,0.360702942846509,10,0,202171.566642326,1397883.46345146,804.337616001858,451.407809269361,184.543966777012,747.829914578556,669.425417809185,250,430,0,0,0,517944.420316561,580,580,2,0,6.71783969258494,6.01352333641022,1.5,3,0.895157314195493,4.0550467954488,GTC_0054
