model_domain_id,rank_domain,lon,lat,basin_id,basin_label,grid_cell_count,lowlying_area_km2,tc_landfall_count_max,tc_landfall_count_mean,tc_landfall_per_year_max,tc_landfall_max_wind_ms,mean_elevation_m,mean_coast_distance_km,mean_osm_coast_distance_km,nearest_landfall_km,screen_score_mean,population_sum_2020,population_density_per_lowland_km2,area_priority,tc_frequency_priority,population_priority,wind_priority,priority,span_km,alongshore_length_km,cross_shore_width_km,aspect_ratio,contains_estuary_proxy,estuary_proxy_count,domain_ocean_connected,ocean_connected_cell_count,osm_coast_contact_cell_count,exceeds_nominal_size_limits,limit_exception_reason,lon_min,lon_max,lat_min,lat_max,suggested_bbox_lon_min,suggested_bbox_lon_max,suggested_bbox_lat_min,suggested_bbox_lat_max,crosses_dateline,plot_rank,position_connected_rank,quicklook_basin_id
GTC_0064,37,-112.828944487217,26.2834192271112,BASIN_NA,North American East and West Coasts,84,5010.81141825882,15,8.23809523809524,0.365853658536585,56.54,4.13879017238804,5.01408150645008,5.84555493514721,3.75672361125823,0.362767966124037,0,0,0.602426718216701,0.568521353444916,0,0.411764705882353,0.389070355609542,839.189872157221,744.590783098271,199.708517645952,3.7283877116263,1,3,1,84,84,0,none,-115.25,-109.25,22.75,28.5,-115.75,-108.75,22.25,29,0,1,1,BASIN_NA
GTC_0092,80,-111.940641109968,26.8805859312858,BASIN_NA,North American East and West Coasts,26,247.13034021916,10,5.76923076923077,0.24390243902439,50.372,4.94051778460374,1.25788734804798,4.32005840501007,7.95714952447277,0.242281971687003,0,0,0.133665533097534,0.44126673818796,0,0.294117647058824,0.232651566600573,388.541961235575,388.444644874602,59.0228064531073,6.58126355247466,0,0,1,26,26,0,none,-113.25,-111,25.5,28.75,-113.75,-110.5,25,29.25,0,2,2,BASIN_NA
GTC_0034,35,-109.046637593864,25.9807957571256,BASIN_NA,North American East and West Coasts,60,10120.2276295343,14,7.51666666666667,0.341463414634146,56.54,4.25513969631396,6.77101079016189,6.32620531080439,3.73944108499056,0.462239905791774,0,0,0.712043143295427,0.546602569732902,0,0.411764705882353,0.402226127140482,711.012776597639,710.794428072707,91.3602249933724,7.78013000870204,1,3,1,60,60,0,none,-111.75,-106.75,23.5,28.5,-112.25,-106.25,23,29,0,3,3,BASIN_NA
GTC_0038,17,-105.580164981291,22.2298999171739,BASIN_NA,North American East and West Coasts,28,4642.18880923607,8,6.89285714285714,0.195121951219512,77.1,3.54578601785997,12.6585377619854,9.23564136564038,3.77344733332993,0.501267109745311,2069.64581033273,0.445834044107593,0.590511787955211,0.373114300021637,0.497017679697874,0.803921568627451,0.496845538371804,367.995698411379,367.90212734803,108.920528235751,3.37771156004432,1,2,1,26,26,0,none,-106.75,-105,20.5,23.75,-107.25,-104.5,20,24.25,0,4,4,BASIN_NA
GTC_0048,61,-104.426968200677,19.141633636921,BASIN_NA,North American East and West Coasts,21,653.572272565061,11,8.76190476190476,0.268292682926829,77.1,5.28749329688613,2.6808888379879,6.2642540624592,3.81599527289356,0.440881793342752,0,0,0.284953668465228,0.470817826733276,0,0.803921568627451,0.325710021249101,324.89754700515,322.683803680289,80.4397682702697,4.0114959381298,0,0,1,21,21,0,none,-105.75,-103.25,18.25,20.5,-106.25,-102.75,17.75,21,0,5,5,BASIN_NA
GTC_0083,76,-100.119754999112,16.9938512269353,BASIN_NA,North American East and West Coasts,32,1520.63298177928,7,4.84375,0.170731707317073,53.97,5.33872925751404,3.48057436890162,6.67559451500608,8.40932100287264,0.34350900449859,0,0,0.416517131636449,0.333112440078278,0,0.362745098039216,0.252822912162523,576.982091398242,576.963115694393,59.3023885057934,9.72917162751425,0,0,1,32,32,0,none,-103.25,-98,16,18.25,-103.75,-97.5,15.5,18.75,0,6,6,BASIN_NA
GTC_0085,82,-95.2166935925107,16.1447190044719,BASIN_NA,North American East and West Coasts,30,2027.52849798263,5,3.13333333333333,0.121951219512195,53.97,4.97398295163114,9.44869423664246,11.809867201327,8.48064577461322,0.307899506632661,0,0,0.461360543761436,0.235408913366638,0,0.362745098039216,0.222710183902864,441.968195161677,428.615079740412,103.294822303877,4.14943431026478,0,0,1,29,29,0,none,-98,-93.75,15.5,16.75,-98.5,-93.25,15,17.25,0,7,7,BASIN_NA
GTC_0054,48,-96.8315134813567,20.3877306506603,BASIN_NA,North American East and West Coasts,77,10001.1232280432,10,5.96103896103896,0.24390243902439,57.054,4.16874569898399,22.1407214920106,25.2600931760883,8.10236474856975,0.413125010668759,0,0,0.710196924131136,0.44126673818796,0,0.421568627450981,0.360702942846509,798.237668143374,740.223256036008,214.173174220901,3.45619034096461,0,0,1,54,54,0,none,-98.75,-94.75,18,24.5,-99.25,-94.25,17.5,25,0,8,8,BASIN_NA
GTC_0033,46,-97.5129460788307,26.4519270571773,BASIN_NA,North American East and West Coasts,55,13850.3609784698,9,7.21818181818182,0.219512195121951,59.11,4.91971621598006,10.6472726782169,19.5418095764291,3.70272084464234,0.530839553291752,0,0,0.760976203319228,0.408897183077904,0,0.46078431372549,0.361832545267556,443.412149037372,427.146080071366,125.310939933324,3.40868945918564,1,1,1,42,42,0,none,-98.25,-96.5,24.5,28.5,-98.75,-96,24,29,0,9,9,BASIN_NA
GTC_0012,24,-94.1547177763431,29.6934945692587,BASIN_NA,North American East and West Coasts,84,23351.7968168742,15,10.297619047619,0.365853658536585,66.82,3.62438062616493,23.2081200051304,27.410070645086,3.67506311870829,0.574438324364431,0,0,0.842440696143475,0.568521353444916,0,0.607843137254902,0.456680994332152,523.18716375198,498.908002237282,173.376421930245,2.87760006050885,1,2,1,50,50,0,none,-97.25,-92.25,28.25,30.75,-97.75,-91.75,27.75,31.25,0,10,10,BASIN_NA
